order_item_id,order_id,product_id,quantity,price_per_unit,discount
OI000000001,O00000001,P000500,1,14.56,0.0
OI000000002,O00000002,P000294,1,817.73,0.2
OI000000003,O00000002,P000234,2,54.04,0.0
OI000000004,O00000002,P000302,1,1146.45,0.0
OI000000005,O00000002,P000437,1,137.36,0.05
OI000000006,O00000003,P000192,1,198.46,0.0
OI000000007,O00000003,P000285,2,32.73,0.1
OI000000008,O00000003,P000641,1,153.5,0.05
OI000000009,O00000004,P000416,1,140.43,0.05
OI000000010,O00000004,P000190,1,94.26,0.25
OI000000011,O00000004,P000331,1,317.69,0.05
OI000000012,O00000005,P000203,1,54.88,0.0
OI000000013,O00000006,P000256,1,112.04,0.05
OI000000014,O00000006,P000542,1,141.6,0.0
OI000000015,O00000007,P000693,1,80.67,0.2
OI000000016,O00000007,P000344,1,44.4,0.2
OI000000017,O00000007,P000652,2,94.97,0.4
OI000000018,O00000007,P000497,2,81.25,0.05
OI000000019,O00000007,P000522,1,127.31,0.15
OI000000020,O00000008,P000234,1,52.71,0.15
OI000000021,O00000008,P000306,2,481.06,0.1
OI000000022,O00000009,P000328,1,33.9,0.1
OI000000023,O00000010,P000177,1,62.91,0.1
OI000000024,O00000010,P000150,1,340.31,0.15
OI000000025,O00000011,P000638,1,115.38,0.1
OI000000026,O00000012,P000606,1,14.63,0.0
OI000000027,O00000013,P000686,1,126.79,0.15
OI000000028,O00000013,P000551,3,704.05,0.1
OI000000029,O00000013,P000715,1,13.81,0.2
OI000000030,O00000014,P000498,1,66.94,0.05
OI000000031,O00000014,P000449,1,1185.61,0.0
OI000000032,O00000015,P000703,1,747.45,0.05
OI000000033,O00000015,P000111,1,105.72,0.0
OI000000034,O00000016,P000610,2,449.53,0.05
OI000000035,O00000016,P000770,1,34.31,0.05
OI000000036,O00000017,P000546,4,111.27,0.05
OI000000037,O00000017,P000008,1,26.62,0.0
OI000000038,O00000018,P000114,2,38.23,0.05
OI000000039,O00000018,P000128,1,40.17,0.1
OI000000040,O00000018,P000499,2,25.43,0.2
OI000000041,O00000019,P000771,2,77.95,0.05
OI000000042,O00000020,P000487,1,518.31,0.0
OI000000043,O00000020,P000497,1,80.32,0.1
OI000000044,O00000021,P000353,2,68.75,0.25
OI000000045,O00000022,P000667,2,54.48,0.1
OI000000046,O00000022,P000487,1,525.83,0.15
OI000000047,O00000022,P000679,1,835.79,0.1
OI000000048,O00000023,P000465,1,18.68,0.15
OI000000049,O00000023,P000687,1,103.03,0.05
OI000000050,O00000024,P000150,1,313.92,0.0
OI000000051,O00000024,P000582,1,88.75,0.05
OI000000052,O00000025,P000058,2,52.42,0.0
OI000000053,O00000026,P000553,1,46.77,0.0
OI000000054,O00000026,P000047,1,307.3,0.0
OI000000055,O00000026,P000179,1,95.28,0.0
OI000000056,O00000027,P000384,1,1017.66,0.05
OI000000057,O00000027,P000164,1,79.47,0.0
OI000000058,O00000027,P000140,1,262.07,0.05
OI000000059,O00000028,P000355,3,104.21,0.0
OI000000060,O00000028,P000284,2,102.66,0.05
OI000000061,O00000028,P000723,1,1044.27,0.25
OI000000062,O00000028,P000481,1,37.99,0.0
OI000000063,O00000029,P000146,1,30.86,0.1
OI000000064,O00000029,P000151,2,25.53,0.0
OI000000065,O00000030,P000632,1,30.68,0.05
OI000000066,O00000030,P000239,1,1007.91,0.0
OI000000067,O00000030,P000302,1,1206.05,0.05
OI000000068,O00000030,P000792,3,101.56,0.05
OI000000069,O00000031,P000017,1,83.31,0.1
OI000000070,O00000031,P000305,2,83.75,0.0
OI000000071,O00000032,P000350,1,1103.82,0.0
OI000000072,O00000032,P000701,3,141.47,0.1
OI000000073,O00000033,P000210,1,93.89,0.0
OI000000074,O00000034,P000009,2,25.59,0.0
OI000000075,O00000034,P000204,1,886.38,0.0
OI000000076,O00000035,P000635,2,855.78,0.2
OI000000077,O00000035,P000332,1,202.3,0.1
OI000000078,O00000036,P000594,1,18.77,0.05
OI000000079,O00000036,P000192,1,195.41,0.15
OI000000080,O00000036,P000126,1,80.0,0.0
OI000000081,O00000036,P000174,1,20.44,0.15
OI000000082,O00000037,P000368,2,639.74,0.2
OI000000083,O00000037,P000020,1,46.07,0.1
OI000000084,O00000037,P000355,1,111.24,0.2
OI000000085,O00000037,P000051,1,104.33,0.05
OI000000086,O00000037,P000027,1,614.95,0.0
OI000000087,O00000038,P000195,1,2091.54,0.0
OI000000088,O00000038,P000283,2,143.63,0.0
OI000000089,O00000039,P000179,1,89.18,0.0
OI000000090,O00000039,P000644,2,42.32,0.0
OI000000091,O00000040,P000430,1,39.73,0.0
OI000000092,O00000040,P000431,1,47.48,0.1
OI000000093,O00000040,P000729,2,73.2,0.0
OI000000094,O00000041,P000414,1,50.11,0.1
OI000000095,O00000042,P000282,1,57.41,0.0
OI000000096,O00000042,P000065,2,36.79,0.1
OI000000097,O00000043,P000187,1,51.29,0.0
OI000000098,O00000044,P000131,1,74.4,0.2
OI000000099,O00000045,P000755,1,253.31,0.05
OI000000100,O00000045,P000273,1,781.82,0.15
OI000000101,O00000045,P000716,1,122.85,0.2
OI000000102,O00000045,P000077,1,132.52,0.0
OI000000103,O00000046,P000694,1,84.59,0.05
OI000000104,O00000047,P000070,4,86.32,0.0
OI000000105,O00000047,P000126,2,79.91,0.0
OI000000106,O00000048,P000025,2,18.45,0.0
OI000000107,O00000049,P000557,2,36.65,0.0
OI000000108,O00000049,P000675,1,92.88,0.25
OI000000109,O00000049,P000641,1,143.65,0.15
OI000000110,O00000050,P000226,3,19.03,0.0
OI000000111,O00000050,P000082,2,21.2,0.0
OI000000112,O00000051,P000239,1,1014.97,0.15
OI000000113,O00000052,P000459,1,19.1,0.0
OI000000114,O00000052,P000635,1,849.95,0.0
OI000000115,O00000052,P000571,1,40.64,0.05
OI000000116,O00000053,P000307,1,822.55,0.2
OI000000117,O00000054,P000056,1,34.06,0.0
OI000000118,O00000055,P000702,1,115.24,0.1
OI000000119,O00000055,P000091,1,770.37,0.25
OI000000120,O00000056,P000723,1,970.22,0.15
OI000000121,O00000056,P000279,1,54.51,0.0
OI000000122,O00000056,P000121,3,67.89,0.0
OI000000123,O00000057,P000626,1,541.03,0.0
OI000000124,O00000057,P000150,1,344.29,0.05
OI000000125,O00000057,P000271,1,895.79,0.1
OI000000126,O00000058,P000588,1,192.36,0.0
OI000000127,O00000059,P000611,1,87.9,0.0
OI000000128,O00000060,P000223,1,112.03,0.0
OI000000129,O00000060,P000517,2,33.63,0.0
OI000000130,O00000060,P000648,1,362.8,0.1
OI000000131,O00000061,P000249,1,500.94,0.2
OI000000132,O00000061,P000651,2,387.93,0.1
OI000000133,O00000062,P000230,2,948.13,0.1
OI000000134,O00000062,P000191,1,37.17,0.25
OI000000135,O00000063,P000796,3,54.28,0.0
OI000000136,O00000064,P000458,1,85.76,0.05
OI000000137,O00000064,P000319,1,89.94,0.05
OI000000138,O00000064,P000593,2,162.58,0.05
OI000000139,O00000064,P000107,3,906.25,0.1
OI000000140,O00000065,P000366,3,121.43,0.1
OI000000141,O00000066,P000155,1,1021.65,0.05
OI000000142,O00000066,P000301,1,32.76,0.1
OI000000143,O00000066,P000440,1,24.86,0.15
OI000000144,O00000066,P000144,3,31.12,0.0
OI000000145,O00000067,P000546,1,111.63,0.0
OI000000146,O00000067,P000576,1,140.61,0.0
OI000000147,O00000068,P000465,1,20.33,0.0
OI000000148,O00000069,P000571,1,39.98,0.1
OI000000149,O00000069,P000195,2,2136.03,0.1
OI000000150,O00000069,P000332,2,195.04,0.15
OI000000151,O00000070,P000615,1,65.95,0.15
OI000000152,O00000071,P000416,1,140.75,0.0
OI000000153,O00000071,P000729,1,73.26,0.0
OI000000154,O00000071,P000078,1,171.51,0.0
OI000000155,O00000071,P000377,1,24.84,0.1
OI000000156,O00000072,P000263,1,137.6,0.1
OI000000157,O00000073,P000609,1,366.37,0.3
OI000000158,O00000074,P000745,4,412.84,0.05
OI000000159,O00000074,P000553,1,47.63,0.0
OI000000160,O00000075,P000363,1,145.2,0.2
OI000000161,O00000075,P000525,1,544.07,0.05
OI000000162,O00000075,P000663,2,113.03,0.05
OI000000163,O00000075,P000027,1,597.25,0.15
OI000000164,O00000076,P000206,1,43.92,0.0
OI000000165,O00000077,P000617,1,251.37,0.05
OI000000166,O00000077,P000248,1,478.83,0.05
OI000000167,O00000077,P000530,2,136.46,0.05
OI000000168,O00000078,P000663,1,104.98,0.05
OI000000169,O00000078,P000182,1,119.46,0.2
OI000000170,O00000079,P000335,4,103.9,0.0
OI000000171,O00000079,P000521,4,22.23,0.15
OI000000172,O00000079,P000517,2,32.47,0.05
OI000000173,O00000080,P000163,1,129.35,0.15
OI000000174,O00000080,P000074,1,69.48,0.05
OI000000175,O00000081,P000635,1,869.59,0.0
OI000000176,O00000081,P000467,2,294.84,0.05
OI000000177,O00000081,P000156,1,257.46,0.0
OI000000178,O00000081,P000008,2,27.41,0.0
OI000000179,O00000082,P000531,1,539.57,0.0
OI000000180,O00000082,P000446,1,332.73,0.0
OI000000181,O00000082,P000070,1,82.58,0.1
OI000000182,O00000083,P000700,1,145.65,0.25
OI000000183,O00000083,P000481,1,36.58,0.0
OI000000184,O00000083,P000560,1,465.97,0.05
OI000000185,O00000083,P000498,1,64.05,0.15
OI000000186,O00000083,P000319,1,92.13,0.1
OI000000187,O00000084,P000219,2,10.69,0.0
OI000000188,O00000085,P000203,3,51.92,0.0
OI000000189,O00000085,P000089,1,159.89,0.15
OI000000190,O00000086,P000598,2,60.76,0.0
OI000000191,O00000086,P000615,1,66.71,0.0
OI000000192,O00000086,P000223,2,112.65,0.0
OI000000193,O00000086,P000079,2,53.17,0.05
OI000000194,O00000086,P000401,1,98.71,0.1
OI000000195,O00000087,P000702,1,115.61,0.05
OI000000196,O00000088,P000716,1,122.69,0.2
OI000000197,O00000089,P000126,1,79.9,0.0
OI000000198,O00000090,P000103,2,132.05,0.05
OI000000199,O00000091,P000243,1,140.74,0.05
OI000000200,O00000091,P000286,2,59.83,0.0
OI000000201,O00000092,P000594,2,19.48,0.05
OI000000202,O00000093,P000058,1,48.85,0.1
OI000000203,O00000094,P000101,2,36.39,0.05
OI000000204,O00000095,P000611,3,88.01,0.05
OI000000205,O00000096,P000395,1,489.7,0.2
OI000000206,O00000097,P000736,1,279.55,0.25
OI000000207,O00000097,P000471,1,60.52,0.1
OI000000208,O00000097,P000187,1,53.27,0.2
OI000000209,O00000097,P000316,1,112.78,0.05
OI000000210,O00000098,P000771,1,75.86,0.05
OI000000211,O00000098,P000221,1,110.89,0.05
OI000000212,O00000099,P000264,1,944.15,0.15
OI000000213,O00000100,P000091,1,784.14,0.05
OI000000214,O00000100,P000326,1,325.87,0.0
OI000000215,O00000101,P000761,1,80.68,0.0
OI000000216,O00000101,P000654,1,147.97,0.0
OI000000217,O00000102,P000729,1,74.4,0.0
OI000000218,O00000102,P000799,1,137.36,0.0
OI000000219,O00000103,P000497,2,85.36,0.0
OI000000220,O00000104,P000245,1,64.16,0.0
OI000000221,O00000104,P000115,1,220.48,0.15
OI000000222,O00000104,P000471,1,62.73,0.0
OI000000223,O00000105,P000067,2,41.88,0.1
OI000000224,O00000105,P000029,1,573.97,0.0
OI000000225,O00000106,P000063,2,21.16,0.0
OI000000226,O00000106,P000425,1,85.64,0.1
OI000000227,O00000106,P000267,3,77.37,0.15
OI000000228,O00000107,P000090,1,26.8,0.0
OI000000229,O00000107,P000025,1,18.31,0.0
OI000000230,O00000108,P000513,1,1081.82,0.15
OI000000231,O00000109,P000741,1,1480.92,0.0
OI000000232,O00000110,P000732,1,88.78,0.15
OI000000233,O00000110,P000742,1,505.47,0.05
OI000000234,O00000110,P000472,1,985.25,0.1
OI000000235,O00000111,P000389,3,384.83,0.2
OI000000236,O00000111,P000219,1,10.58,0.1
OI000000237,O00000112,P000226,2,19.95,0.0
OI000000238,O00000113,P000230,1,919.35,0.0
OI000000239,O00000113,P000392,1,472.64,0.1
OI000000240,O00000113,P000313,1,108.21,0.05
OI000000241,O00000114,P000064,1,22.27,0.05
OI000000242,O00000115,P000437,1,129.81,0.25
OI000000243,O00000115,P000350,2,1122.19,0.0
OI000000244,O00000116,P000088,3,60.29,0.1
OI000000245,O00000117,P000271,1,946.77,0.05
OI000000246,O00000117,P000323,1,43.18,0.15
OI000000247,O00000117,P000549,4,36.69,0.1
OI000000248,O00000118,P000660,1,62.06,0.0
OI000000249,O00000118,P000565,1,272.98,0.0
OI000000250,O00000118,P000047,2,303.2,0.0
OI000000251,O00000119,P000678,3,287.05,0.2
OI000000252,O00000119,P000737,1,142.9,0.05
OI000000253,O00000119,P000533,1,197.42,0.0
OI000000254,O00000120,P000591,1,27.33,0.1
OI000000255,O00000120,P000062,4,345.7,0.15
OI000000256,O00000121,P000731,1,219.37,0.05
OI000000257,O00000122,P000255,1,200.22,0.0
OI000000258,O00000122,P000503,1,15.45,0.05
OI000000259,O00000122,P000076,1,149.19,0.0
OI000000260,O00000123,P000797,1,541.52,0.1
OI000000261,O00000123,P000311,1,35.05,0.1
OI000000262,O00000124,P000526,1,159.65,0.15
OI000000263,O00000125,P000376,1,593.53,0.0
OI000000264,O00000125,P000635,1,869.34,0.05
OI000000265,O00000125,P000217,1,508.72,0.05
OI000000266,O00000125,P000206,1,44.9,0.15
OI000000267,O00000126,P000499,1,26.05,0.05
OI000000268,O00000126,P000190,1,92.18,0.15
OI000000269,O00000126,P000248,2,487.93,0.15
OI000000270,O00000127,P000470,1,53.05,0.1
OI000000271,O00000127,P000533,2,200.65,0.1
OI000000272,O00000127,P000140,1,268.76,0.2
OI000000273,O00000127,P000687,1,97.1,0.05
OI000000274,O00000128,P000691,1,141.78,0.0
OI000000275,O00000128,P000126,1,83.21,0.0
OI000000276,O00000129,P000437,1,131.2,0.05
OI000000277,O00000130,P000307,1,804.46,0.15
OI000000278,O00000131,P000438,1,188.69,0.1
OI000000279,O00000131,P000062,2,336.66,0.0
OI000000280,O00000132,P000612,1,100.42,0.1
OI000000281,O00000132,P000239,2,1037.03,0.1
OI000000282,O00000132,P000115,1,225.28,0.05
OI000000283,O00000132,P000311,1,34.19,0.0
OI000000284,O00000133,P000775,1,80.08,0.1
OI000000285,O00000133,P000313,1,104.9,0.25
OI000000286,O00000134,P000132,1,26.58,0.0
OI000000287,O00000135,P000261,1,531.83,0.05
OI000000288,O00000136,P000313,4,106.81,0.15
OI000000289,O00000137,P000635,2,868.69,0.0
OI000000290,O00000137,P000128,2,41.2,0.05
OI000000291,O00000138,P000016,2,142.24,0.1
OI000000292,O00000138,P000771,1,79.78,0.05
OI000000293,O00000138,P000610,2,444.58,0.0
OI000000294,O00000139,P000593,2,160.37,0.0
OI000000295,O00000139,P000236,1,42.09,0.2
OI000000296,O00000139,P000029,1,568.88,0.0
OI000000297,O00000140,P000335,1,107.01,0.0
OI000000298,O00000140,P000335,1,105.82,0.0
OI000000299,O00000140,P000028,1,975.43,0.05
OI000000300,O00000141,P000251,1,234.78,0.0
OI000000301,O00000142,P000022,2,160.21,0.05
OI000000302,O00000143,P000691,1,144.46,0.0
OI000000303,O00000143,P000596,2,126.99,0.0
OI000000304,O00000144,P000437,2,136.21,0.0
OI000000305,O00000145,P000174,1,21.87,0.05
OI000000306,O00000145,P000545,1,71.74,0.25
OI000000307,O00000145,P000762,1,1549.32,0.05
OI000000308,O00000146,P000727,2,164.52,0.15
OI000000309,O00000146,P000103,1,142.09,0.2
OI000000310,O00000147,P000088,1,62.46,0.25
OI000000311,O00000148,P000481,1,35.63,0.1
OI000000312,O00000149,P000571,1,39.99,0.05
OI000000313,O00000149,P000063,1,21.48,0.0
OI000000314,O00000149,P000434,1,118.56,0.0
OI000000315,O00000149,P000009,1,24.99,0.1
OI000000316,O00000149,P000207,1,150.69,0.0
OI000000317,O00000150,P000358,1,32.3,0.05
OI000000318,O00000151,P000268,1,824.09,0.0
OI000000319,O00000152,P000039,1,279.61,0.0
OI000000320,O00000152,P000443,1,333.61,0.05
OI000000321,O00000153,P000140,2,264.33,0.2
OI000000322,O00000154,P000783,2,127.8,0.0
OI000000323,O00000154,P000082,1,20.86,0.15
OI000000324,O00000154,P000735,1,275.18,0.1
OI000000325,O00000155,P000048,1,60.53,0.05
OI000000326,O00000155,P000289,2,69.03,0.15
OI000000327,O00000156,P000150,3,335.11,0.05
OI000000328,O00000157,P000696,1,15.7,0.1
OI000000329,O00000157,P000022,1,165.0,0.15
OI000000330,O00000157,P000190,1,88.46,0.1
OI000000331,O00000158,P000070,1,85.72,0.15
OI000000332,O00000159,P000074,1,69.72,0.1
OI000000333,O00000159,P000568,2,1171.09,0.05
OI000000334,O00000159,P000733,2,56.52,0.1
OI000000335,O00000160,P000033,1,70.1,0.15
OI000000336,O00000160,P000389,2,370.46,0.1
OI000000337,O00000160,P000038,1,958.81,0.0
OI000000338,O00000160,P000422,2,611.8,0.1
OI000000339,O00000160,P000393,2,88.21,0.0
OI000000340,O00000161,P000798,1,161.44,0.1
OI000000341,O00000161,P000125,2,295.23,0.0
OI000000342,O00000162,P000389,2,356.58,0.15
OI000000343,O00000163,P000237,1,112.44,0.0
OI000000344,O00000163,P000635,1,858.21,0.0
OI000000345,O00000164,P000204,2,886.6,0.0
OI000000346,O00000164,P000094,1,217.77,0.0
OI000000347,O00000165,P000702,1,116.61,0.0
OI000000348,O00000165,P000673,2,38.56,0.1
OI000000349,O00000165,P000075,1,1252.43,0.05
OI000000350,O00000166,P000492,1,156.51,0.2
OI000000351,O00000166,P000592,1,91.69,0.1
OI000000352,O00000167,P000766,1,40.49,0.0
OI000000353,O00000167,P000098,1,565.03,0.0
OI000000354,O00000167,P000230,1,931.12,0.0
OI000000355,O00000168,P000317,1,98.69,0.15
OI000000356,O00000168,P000630,1,32.48,0.05
OI000000357,O00000168,P000761,2,78.97,0.0
OI000000358,O00000169,P000108,2,176.76,0.05
OI000000359,O00000169,P000227,1,634.93,0.25
OI000000360,O00000169,P000374,2,40.95,0.25
OI000000361,O00000170,P000334,2,49.13,0.2
OI000000362,O00000171,P000238,1,37.52,0.2
OI000000363,O00000171,P000516,2,123.9,0.1
