order_id,customer_id,order_date,shipment_date,payment_method,order_status,total_amount
O00000001,C0000001,2025-04-05,2025-04-12,Gift Card,Completed,14.56
O00000002,C0000001,2025-04-30,2025-05-04,Debit Card,Completed,2039.21
O00000003,C0000001,2025-10-16,2025-10-23,Debit Card,Completed,403.2
O00000004,C0000002,2025-09-15,2025-09-18,Debit Card,Completed,505.91
O00000005,C0000002,2025-11-05,2025-11-09,PayPal,Completed,54.88
O00000006,C0000002,2025-11-07,2025-11-10,Credit Card,Completed,248.04
O00000007,C0000002,2025-11-28,2025-12-02,Credit Card,Completed,476.61
O00000008,C0000002,2025-12-05,2025-12-10,Debit Card,Completed,910.71
O00000009,C0000002,2025-12-11,2025-12-15,Buy Now Pay Later,Completed,30.51
O00000010,C0000002,2025-12-30,2026-01-01,Credit Card,Completed,345.88
O00000011,C0000003,2025-10-01,2025-10-05,Credit Card,Completed,103.84
O00000012,C0000003,2025-10-15,2025-10-19,Credit Card,Completed,14.63
O00000013,C0000003,2025-12-07,2025-12-11,Gift Card,Completed,2019.75
O00000014,C0000003,2025-12-22,2025-12-24,Buy Now Pay Later,Completed,1249.2
O00000015,C0000004,2025-04-11,2025-04-17,Credit Card,Shipped,815.8
O00000016,C0000005,2025-04-27,2025-04-29,Gift Card,Completed,886.7
O00000017,C0000005,2025-11-13,2025-11-20,PayPal,Completed,449.45
O00000018,C0000006,2025-11-02,2025-11-07,PayPal,Completed,149.48
O00000019,C0000007,2025-10-16,2025-10-19,Credit Card,Completed,148.1
O00000020,C0000007,2025-11-03,2025-11-10,Gift Card,Returned,590.6
O00000021,C0000007,2025-12-05,2025-12-12,Credit Card,Completed,103.12
O00000022,C0000008,2024-03-25,2024-03-29,Credit Card,Completed,1297.23
O00000023,C0000009,2024-05-25,2024-05-28,Credit Card,Completed,113.76
O00000024,C0000009,2024-05-30,2024-06-05,credit card,Completed,398.23
O00000025,C0000009,2024-06-21,2024-06-25,Gift Card,Completed,104.84
O00000026,C0000009,2024-08-19,2024-08-22,Gift Card,Completed,449.35
