return_id,order_id,return_reason,return_date
R0000001,O00000020,Quality issue,2025-11-21
R0000002,O00000053,Size issue,2024-09-09
R0000003,O00000056,Damaged item,2025-03-11
R0000004,O00000145,Quality issue,2023-12-17
R0000005,O00000224,Wrong item,2024-09-12
R0000006,O00000249,Changed mind,2024-10-18
R0000007,O00000264,Size issue,2026-01-08
R0000008,O00000277,Quality issue,2025-10-22
R0000009,O00000278,Late delivery,2025-11-10
R0000010,O00000287,Late delivery,2024-07-02
R0000011,O00000343,Size issue,2026-01-09
R0000012,O00000344,Quality issue,2024-06-28
R0000013,O00000348,Damaged item,2023-12-27
R0000014,O00000374,Quality issue,2024-01-09
R0000015,O00000379,Late delivery,2024-05-23
R0000016,O00000383,Late delivery,2025-01-09
R0000017,O00000536,Quality issue,2024-11-05
R0000018,O00000544,Wrong item,2025-08-07
R0000019,O00000546,Wrong item,2025-11-30
R0000020,O00000550,Changed mind,2025-02-04
R0000021,O00000587,Size issue,2023-11-21
R0000022,O00000657,Quality issue,2025-09-07
R0000023,O00000679,Quality issue,2025-07-23
R0000024,O00000690,Wrong item,2025-04-06
R0000025,O00000713,Quality issue,2025-12-24
R0000026,O00000715,Damaged item,2024-11-01
R0000027,O00000738,Wrong item,2025-02-06
R0000028,O00000762,Damaged item,2025-08-02
R0000029,O00000772,Wrong item,2025-10-04
R0000030,O00000787,Quality issue,2024-11-25
R0000031,O00000789,Late delivery,2025-02-15
R0000032,O00000796,Size issue,2025-06-01
R0000033,O00000804,Late delivery,2025-12-30
R0000034,O00000834,Wrong item,2025-06-20
R0000035,O00000876,Changed mind,2024-12-01
R0000036,O00000892,Damaged item,2025-10-10
R0000037,O00000958,Late delivery,2025-06-17
R0000038,O00000981,Damaged item,2025-03-08
R0000039,O00000998,Damaged item,2025-12-21
R0000040,O00001022,Late delivery,2025-11-15
R0000041,O00001045,Damaged item,2025-12-29
R0000042,O00001060,Changed mind,2025-12-01
R0000043,O00001098,Damaged item,2025-11-28
R0000044,O00001120,Quality issue,2025-11-29
R0000045,O00001134,Changed mind,2024-05-31
R0000046,O00001182,Changed mind,2025-08-10
R0000047,O00001204,Changed mind,2025-11-05
R0000048,O00001222,Wrong item,2025-07-20
R0000049,O00001254,Quality issue,2024-03-16
R0000050,O00001257,Changed mind,2023-11-07
R0000051,O00001271,Changed mind,2023-04-16
R0000052,O00001277,Changed mind,2024-01-13
R0000053,O00001283,Quality issue,2024-10-31
R0000054,O00001288,Late delivery,2025-07-09
R0000055,O00001290,Late delivery,2025-08-02
R0000056,O00001303,Wrong item,2024-10-22
R0000057,O00001349,Damaged item,2026-01-08
R0000058,O00001386,Quality issue,2024-10-19
R0000059,O00001410,Wrong item,2024-02-20
R0000060,O00001414,Wrong item,2025-07-30
R0000061,O00001418,Wrong item,2023-09-19
R0000062,O00001447,Late delivery,2024-03-16
R0000063,O00001514,Quality issue,2025-12-16
R0000064,O00001526,Quality issue,2024-01-02
R0000065,O00001551,Quality issue,2025-04-04
R0000066,O00001586,Late delivery,2024-10-13
