order_month,revenue,orders,aov,month_over_month_growth_pct,year_over_year_growth_pct,running_revenue_total
2023-01-01,358176.72,519,690.13,,,358176.72
2023-02-01,359632.49,495,726.53,0.41,,717809.21
2023-03-01,455774.56,688,662.46,26.73,,1173583.77
2023-04-01,520274.56,777,669.59,14.15,,1693858.33
2023-05-01,705996.58,1035,682.12,35.7,,2399854.91
2023-06-01,714886.99,1074,665.63,1.26,,3114741.9
2023-07-01,851076.76,1303,653.17,19.05,,3965818.66
2023-08-01,1034076.95,1533,674.54,21.5,,4999895.61
2023-09-01,1158888.24,1606,721.6,12.07,,6158783.85
2023-10-01,1359453.21,1904,714.0,17.31,,7518237.06
2023-11-01,1883376.07,2967,634.77,38.54,,9401613.13
2023-12-01,2415424.89,3604,670.21,28.25,,11817038.02
2024-01-01,1202187.23,1654,726.84,-50.23,235.64,13019225.25
2024-02-01,1136875.0,1691,672.31,-5.43,216.12,14156100.25
2024-03-01,1579795.93,2268,696.56,38.96,246.62,15735896.18
2024-04-01,1693430.98,2448,691.76,7.19,225.49,17429327.16
2024-05-01,1989766.28,2830,703.1,17.5,181.84,19419093.44
2024-06-01,2040500.8,2976,685.65,2.55,185.43,21459594.24
2024-07-01,2434220.89,3565,682.81,19.3,186.02,23893815.13
2024-08-01,2814781.21,4141,679.73,15.63,172.2,26708596.34
2024-09-01,2672834.21,3869,690.83,-5.04,130.64,29381430.55
2024-10-01,3424487.68,4918,696.32,28.12,151.9,32805918.23
2024-11-01,5108621.47,7586,673.43,49.18,171.25,37914539.7
2024-12-01,6077912.08,9105,667.54,18.97,151.63,43992451.78
2025-01-01,3120117.77,4387,711.22,-48.66,159.54,47112569.55
2025-02-01,2807146.6,4115,682.17,-10.03,146.92,49919716.15
2025-03-01,3786282.76,5553,681.84,34.88,139.67,53705998.91
2025-04-01,4082407.19,6020,678.14,7.82,141.07,57788406.1
2025-05-01,4811017.0,7057,681.74,17.85,141.79,62599423.1
2025-06-01,4952767.8,7256,682.58,2.95,142.72,67552190.9
2025-07-01,6051897.51,8816,686.47,22.19,148.62,73604088.41
2025-08-01,6768563.93,9952,680.12,11.84,140.47,80372652.34
2025-09-01,6625820.4,9743,680.06,-2.11,147.89,86998472.74
2025-10-01,8386713.2,12443,674.01,26.58,144.9,95385185.94
2025-11-01,12507308.54,19012,657.86,49.13,144.83,107892494.48
2025-12-01,14850492.92,22619,656.55,18.73,144.34,122742987.4
