category,sub_category,revenue,gross_profit,profit_margin_pct,units_sold
Electronics,Laptops,30007251.65,7874389.73,26.24,24453
Electronics,Phones,22033780.54,5890709.2,26.73,33208
Home & Kitchen,Furniture,14831024.39,6066696.26,40.91,27303
Electronics,Cameras,13768897.6,3374232.25,24.51,19012
Fashion,Bags,4521394.13,2254695.2,49.87,33198
Sports,Cycling,4468477.01,1822206.47,40.78,11547
Home & Kitchen,Appliances,3933645.34,1485363.3,37.76,15378
Fashion,Footwear,3230643.0,1567435.25,48.52,25118
Electronics,Audio,2997134.93,782269.28,26.1,14188
Fashion,Women Apparel,2649355.97,1261213.89,47.6,26364
Home & Kitchen,Cookware,2580703.35,1069685.92,41.45,25700
Sports,Fitness,2137807.67,828806.14,38.77,14013
Sports,Outdoor,2124909.53,863450.41,40.63,8842
Home & Kitchen,Decor,2119798.61,857854.44,40.47,28079
Fashion,Men Apparel,2062083.23,958002.74,46.46,25978
Electronics,Accessories,1589481.96,393634.62,24.76,22687
Home & Kitchen,Storage,928755.61,364307.83,39.23,17037
Fashion,Accessories,849832.33,408522.91,48.07,19308
Beauty,Haircare,733967.62,356765.06,48.61,15309
Sports,Team Sports,728340.62,306893.51,42.14,9408
Beauty,Skincare,656420.46,279861.91,42.63,11201
Beauty,Fragrance,654014.65,309238.4,47.28,7250
Beauty,Makeup,529127.03,234976.89,44.41,14318
Toys,STEM Toys,463245.91,189592.51,40.93,6552
Toys,Outdoor Toys,327575.0,130862.94,39.95,4008
Toys,Dolls,260521.33,109810.18,42.15,4991
Toys,Board Games,242323.09,85880.51,35.44,6119
Books,Business,231098.67,92822.17,40.17,6367
Grocery,Pantry,222715.19,87512.86,39.29,10989
Books,Technology,200090.84,84182.61,42.07,6682
Grocery,Organic,186641.44,73519.04,39.39,5635
Grocery,Beverages,141950.2,59085.44,41.62,5994
Books,Fiction,138500.92,56438.65,40.75,6949
Grocery,Snacks,105840.15,45214.03,42.72,5955
Books,Children,85638.64,32145.01,37.54,5106
