order_month,customer_type,customers,orders,revenue
2023-01-01,New Customer,484,519,358176.72
2023-02-01,New Customer,415,429,312601.88
2023-02-01,Returning Customer,56,66,47030.61
2023-03-01,New Customer,511,546,362412.94
2023-03-01,Returning Customer,125,142,93361.62
2023-04-01,New Customer,554,585,397982.14
2023-04-01,Returning Customer,176,192,122292.42
2023-05-01,New Customer,665,704,468800.19
2023-05-01,Returning Customer,297,331,237196.39
2023-06-01,New Customer,646,683,468412.67
2023-06-01,Returning Customer,346,391,246474.32
2023-07-01,New Customer,736,789,492073.9
2023-07-01,Returning Customer,453,514,359002.86
2023-08-01,New Customer,807,866,606723.9
2023-08-01,Returning Customer,582,667,427353.05
2023-09-01,New Customer,803,855,620655.71
2023-09-01,Returning Customer,653,751,538232.53
2023-10-01,New Customer,882,946,681503.52
2023-10-01,Returning Customer,809,958,677949.69
2023-11-01,New Customer,1241,1369,881184.9
2023-11-01,Returning Customer,1284,1598,1002191.17
2023-12-01,New Customer,1429,1610,1077511.93
2023-12-01,Returning Customer,1585,1994,1337912.96
2024-01-01,New Customer,622,664,471965.33
2024-01-01,Returning Customer,893,990,730221.9
2024-02-01,New Customer,709,747,519698.48
2024-02-01,Returning Customer,853,944,617176.52
2024-03-01,New Customer,881,936,651171.51
2024-03-01,Returning Customer,1163,1332,928624.42
2024-04-01,New Customer,1017,1074,776666.37
2024-04-01,Returning Customer,1206,1374,916764.61
2024-05-01,New Customer,1067,1145,800378.1
2024-05-01,Returning Customer,1486,1685,1189388.18
2024-06-01,New Customer,1128,1199,789144.74
2024-06-01,Returning Customer,1542,1777,1251356.06
2024-07-01,New Customer,1282,1392,935890.12
2024-07-01,Returning Customer,1848,2173,1498330.77
2024-08-01,New Customer,1439,1587,1067175.8
2024-08-01,Returning Customer,2134,2554,1747605.41
2024-09-01,New Customer,1335,1438,992362.98
2024-09-01,Returning Customer,2122,2431,1680471.23
2024-10-01,New Customer,1520,1666,1143534.34
2024-10-01,Returning Customer,2685,3252,2280953.34
2024-11-01,New Customer,2215,2504,1678585.96
2024-11-01,Returning Customer,3929,5082,3430035.51
2024-12-01,New Customer,2462,2834,1845206.01
2024-12-01,Returning Customer,4743,6271,4232706.07
2025-01-01,New Customer,1168,1255,873070.49
2025-01-01,Returning Customer,2726,3132,2247047.28
2025-02-01,New Customer,1164,1263,853695.78
2025-02-01,Returning Customer,2543,2852,1953450.82
2025-03-01,New Customer,1563,1741,1199340.96
2025-03-01,Returning Customer,3284,3812,2586941.8
2025-04-01,New Customer,1646,1819,1253344.85
2025-04-01,Returning Customer,3532,4201,2829062.34
2025-05-01,New Customer,1817,2021,1380241.84
2025-05-01,Returning Customer,4139,5036,3430775.16
2025-06-01,New Customer,1815,2044,1462839.54
2025-06-01,Returning Customer,4288,5212,3489928.26
2025-07-01,New Customer,2084,2376,1627133.13
2025-07-01,Returning Customer,5116,6440,4424764.38
2025-08-01,New Customer,2165,2588,1724379.45
2025-08-01,Returning Customer,5671,7364,5044184.48
2025-09-01,New Customer,1986,2336,1549156.77
2025-09-01,Returning Customer,5728,7407,5076663.63
2025-10-01,New Customer,2375,2949,2066630.87
2025-10-01,Returning Customer,6942,9494,6320082.33
2025-11-01,New Customer,2962,4024,2667145.51
2025-11-01,Returning Customer,9728,14988,9840163.03
2025-12-01,New Customer,2692,3225,2162920.0
2025-12-01,Returning Customer,11473,19394,12687572.92
