category,product_id,product_name,revenue,gross_profit,revenue_rank_in_category,profit_rank_in_category
Beauty,P000448,Auren Skincare 0448,125851.01,47929.97,1,1
Beauty,P000698,Citrine Fragrance 0698,91344.97,40118.41,2,3
Beauty,P000017,Glowery Makeup 0017,76779.92,43488.93,3,2
Beauty,P000391,BareBloom Haircare 0391,76024.77,30646.37,4,9
Beauty,P000228,Glowery Fragrance 0228,68073.29,37374.73,5,5
Beauty,P000537,BareBloom Fragrance 0537,64680.35,26621.48,6,10
Beauty,P000425,BareBloom Skincare 0425,64322.31,32579.77,7,7
Beauty,P000542,Glowery Fragrance 0542,63924.71,25892.88,8,12
Beauty,P000066,Auren Haircare 0066,63693.88,39395.32,9,4
Beauty,P000611,Glowery Fragrance 0611,62321.91,22074.73,10,15
Beauty,P000629,BareBloom Haircare 0629,60023.17,32716.75,11,6
Beauty,P000260,Citrine Skincare 0260,59655.96,21479.22,12,16
Beauty,P000450,Citrine Fragrance 0450,53633.65,31776.43,13,8
Beauty,P000349,Glowery Fragrance 0349,48431.73,25242.96,14,13
Beauty,P000356,Citrine Haircare 0356,46617.96,26030.07,15,11
Beauty,P000289,Citrine Makeup 0289,45848.7,16956.0,16,23
Beauty,P000461,Silka Skincare 0461,43867.33,16267.26,17,24
Beauty,P000344,Auren Makeup 0344,43183.91,14456.09,18,28
Beauty,P000675,Glowery Haircare 0675,43114.86,14329.86,19,29
Beauty,P000578,Silka Haircare 0578,39217.9,24053.08,20,14
Beauty,P000496,Glowery Haircare 0496,38378.75,15158.41,21,26
Beauty,P000351,BareBloom Skincare 0351,37370.76,17623.56,22,20
Beauty,P000600,Auren Makeup 0600,35748.6,12140.91,23,34
Beauty,P000598,Citrine Haircare 0598,35483.24,20544.44,24,17
Beauty,P000353,BareBloom Fragrance 0353,33660.24,18282.4,25,19
Beauty,P000245,Auren Haircare 0245,32322.76,19381.06,26,18
Beauty,P000121,Glowery Skincare 0121,31256.23,11646.73,27,35
Beauty,P000079,Auren Makeup 0079,31085.4,16075.44,28,25
Beauty,P000717,Citrine Skincare 0717,30502.49,17527.49,29,21
Beauty,P000460,Citrine Makeup 0460,29797.4,9867.47,30,44
Beauty,P000479,Silka Fragrance 0479,29768.41,17092.11,31,22
Beauty,P000212,Glowery Makeup 0212,29565.04,9770.92,32,46
Beauty,P000058,Glowery Fragrance 0058,29490.1,10268.65,33,43
Beauty,P000329,BareBloom Fragrance 0329,28615.8,14924.96,34,27
Beauty,P000234,Silka Makeup 0234,27751.87,9337.15,35,49
Beauty,P000490,Auren Skincare 0490,27327.52,9849.22,36,45
Beauty,P000096,Silka Skincare 0096,27008.59,10619.14,37,41
Beauty,P000770,Silka Haircare 0770,26243.04,8878.29,38,52
Beauty,P000381,BareBloom Fragrance 0381,24832.95,12347.15,39,32
Beauty,P000285,BareBloom Skincare 0285,24302.5,8158.32,40,56
Beauty,P000063,BareBloom Haircare 0063,24003.17,12379.25,41,31
Beauty,P000773,Glowery Skincare 0773,23870.84,12950.84,42,30
Beauty,P000020,Citrine Haircare 0020,23743.47,11018.72,43,38
Beauty,P000393,Auren Haircare 0393,23605.79,9597.29,44,47
Beauty,P000582,BareBloom Fragrance 0582,22830.68,11623.26,45,36
Beauty,P000120,Glowery Skincare 0120,22763.26,8893.56,46,51
Beauty,P000505,BareBloom Makeup 0505,21649.93,11139.37,47,37
Beauty,P000247,Citrine Skincare 0247,21638.54,8126.6,48,57
Beauty,P000130,Citrine Haircare 0130,20675.24,8786.12,49,53
Beauty,P000498,Silka Skincare 0498,20634.31,10914.81,50,40
Beauty,P000165,Auren Makeup 0165,20085.03,10366.86,51,42
Beauty,P000135,Citrine Makeup 0135,20033.12,12180.89,52,33
Beauty,P000570,Citrine Haircare 0570,18493.56,7912.92,53,60
Beauty,P000067,Citrine Haircare 0067,18340.77,11010.77,54,39
Beauty,P000308,BareBloom Makeup 0308,17897.65,8037.55,55,59
Beauty,P000114,Silka Makeup 0114,17113.39,6673.24,56,67
Beauty,P000564,Silka Fragrance 0564,16997.19,8344.14,57,55
Beauty,P000154,Citrine Skincare 0154,16200.1,8070.0,58,58
Beauty,P000244,BareBloom Makeup 0244,15981.3,9246.9,59,50
Beauty,P000148,BareBloom Skincare 0148,15958.87,9562.33,60,48
Beauty,P000483,BareBloom Haircare 0483,15823.8,7832.88,61,61
Beauty,P000274,Glowery Fragrance 0274,15408.68,7254.12,62,64
Beauty,P000465,Silka Makeup 0465,14982.55,6627.56,63,68
Beauty,P000133,BareBloom Haircare 0133,14478.18,7709.54,64,62
Beauty,P000690,Auren Haircare 0690,14362.49,8672.08,65,54
Beauty,P000324,Citrine Haircare 0324,14335.55,5520.17,66,70
Beauty,P000586,Silka Haircare 0586,13921.1,7528.75,67,63
Beauty,P000303,Glowery Skincare 0303,13826.46,4971.18,68,73
Beauty,P000645,Auren Skincare 0645,13055.96,7015.48,69,65
Beauty,P000685,Citrine Makeup 0685,12684.56,4916.24,70,74
Beauty,P000440,Glowery Makeup 0440,12147.4,6591.85,71,69
Beauty,P000328,Silka Makeup 0328,11827.61,6821.27,72,66
Beauty,P000478,Silka Haircare 0478,11747.22,4001.48,73,78
Beauty,P000229,Silka Haircare 0229,10397.41,3420.16,74,81
Beauty,P000777,Silka Haircare 0777,10385.94,5078.82,75,71
Beauty,P000336,Silka Haircare 0336,10315.32,5029.91,76,72
Beauty,P000659,Silka Skincare 0659,9795.64,4190.14,77,76
Beauty,P000594,Citrine Skincare 0594,9591.78,3584.87,78,80
Beauty,P000065,Silka Haircare 0065,9410.68,3233.08,79,82
Beauty,P000524,Auren Makeup 0524,9203.85,4797.63,80,75
Beauty,P000360,BareBloom Skincare 0360,8865.62,4012.1,81,77
Beauty,P000790,Glowery Skincare 0790,8754.39,3889.33,82,79
Beauty,P000197,Citrine Haircare 0197,7222.7,2503.9,83,85
Beauty,P000672,Glowery Makeup 0672,6811.15,3079.18,84,83
Beauty,P000354,BareBloom Haircare 0354,6212.71,2065.01,85,87
Beauty,P000772,Silka Haircare 0772,5372.21,2330.57,86,86
Beauty,P000559,BareBloom Makeup 0559,5271.91,3006.79,87,84
Beauty,P000696,BareBloom Makeup 0696,5220.65,1782.41,88,92
Beauty,P000489,Auren Makeup 0489,4996.3,1993.0,89,89
Beauty,P000706,Glowery Makeup 0706,4916.68,1802.32,90,91
Beauty,P000144,Glowery Makeup 0144,4412.93,2008.29,91,88
Beauty,P000784,Glowery Makeup 0784,4130.19,1812.63,92,90
Books,P000383,PageMint Business 0383,25755.25,14036.35,1,1
Books,P000262,Northstar Press Technology 0262,20214.76,5360.8,2,17
Books,P000357,Inkline Business 0357,20055.8,9151.35,3,2
Books,P000432,PageMint Business 0432,19191.12,8506.52,4,3
Books,P000667,Inkline Technology 0667,17324.35,4256.62,5,26
Books,P000001,Inkline Business 0001,17255.6,4879.64,6,20
Books,P000713,Northstar Press Technology 0713,16966.47,8055.26,7,5
Books,P000749,Inkline Business 0749,15274.9,6102.04,8,9
Books,P000567,BlueLeaf Technology 0567,15067.55,8106.19,9,4
Books,P000367,PageMint Technology 0367,14400.47,5305.87,10,18
Books,P000238,PageMint Business 0238,14231.74,4602.1,11,22
Books,P000236,Inkline Business 0236,13906.35,5719.95,12,10
Books,P000397,BlueLeaf Technology 0397,13601.96,7093.73,13,6
Books,P000021,Inkline Fiction 0021,13564.64,4251.63,14,27
Books,P000632,BlueLeaf Fiction 0632,13467.17,6723.17,15,7
Books,P000056,Northstar Press Fiction 0056,13291.33,6678.57,16,8
Books,P000430,Northstar Press Business 0430,13170.6,5373.94,17,16
Books,P000160,PageMint Children 0160,12932.48,4825.55,18,21
Books,P000301,BlueLeaf Children 0301,12542.6,5558.5,19,13
Books,P000105,Inkline Business 0105,12091.68,3053.63,20,38
Books,P000241,Northstar Press Business 0241,11615.26,3297.34,21,35
Books,P000167,Inkline Technology 0167,11484.84,5607.56,22,11
Books,P000008,Inkline Business 0008,11330.31,3901.67,23,30
Books,P000242,BlueLeaf Technology 0242,11276.37,5576.53,24,12
Books,P000426,Inkline Business 0426,11134.34,5496.12,25,15
Books,P000779,Inkline Business 0779,11103.79,3255.46,26,36
Books,P000520,Inkline Fiction 0520,10961.51,5531.31,27,14
Books,P000257,Northstar Press Technology 0257,10365.71,4410.21,28,23
Books,P000630,Inkline Technology 0630,10300.79,4095.57,29,28
Books,P000621,BlueLeaf Business 0621,10251.75,4350.72,30,24
Books,P000327,Northstar Press Technology 0327,10145.69,5065.51,31,19
Books,P000642,Northstar Press Technology 0642,8965.63,2966.56,32,41
Books,P000606,Northstar Press Fiction 0606,8713.64,2531.24,33,46
Books,P000117,Northstar Press Fiction 0117,8516.84,4285.24,34,25
Books,P000299,Inkline Business 0299,8193.9,4020.15,35,29
Books,P000201,Northstar Press Children 0201,7297.06,1906.77,36,55
Books,P000345,Northstar Press Technology 0345,7092.73,3451.19,37,32
Books,P000403,Northstar Press Technology 0403,6910.17,3441.57,38,33
Books,P000151,PageMint Technology 0151,6600.48,3394.69,39,34
Books,P000529,PageMint Fiction 0529,6596.45,1673.29,40,58
