category,sub_category,revenue,gross_profit,discount_amount,units_sold,orders,profit_margin_pct
Electronics,Laptops,30007251.65,7874389.73,2250681.1,24453,16863,26.24
Electronics,Phones,22033780.54,5890709.2,1662873.51,33208,22782,26.73
Home & Kitchen,Furniture,14831024.39,6066696.26,1114925.88,27303,18892,40.91
Electronics,Cameras,13768897.6,3374232.25,1031254.37,19012,13326,24.51
Fashion,Bags,4521394.13,2254695.2,421778.14,33198,22727,49.87
Sports,Cycling,4468477.01,1822206.46,329990.41,11547,8210,40.78
Home & Kitchen,Appliances,3933645.34,1485363.3,293515.18,15378,10768,37.76
Fashion,Footwear,3230643.0,1567435.25,299709.05,25118,17533,48.52
Electronics,Audio,2997134.93,782269.28,231574.22,14188,10043,26.1
Fashion,Women Apparel,2649355.97,1261213.89,248637.14,26364,18328,47.6
Home & Kitchen,Cookware,2580703.35,1069685.92,192955.18,25700,17833,41.45
Sports,Fitness,2137807.67,828806.14,159271.83,14013,9908,38.77
Sports,Outdoor,2124909.53,863450.41,155931.82,8842,6368,40.63
Home & Kitchen,Decor,2119798.61,857854.44,155939.07,28079,19557,40.47
Fashion,Men Apparel,2062083.23,958002.74,192563.55,25978,18097,46.46
Electronics,Accessories,1589481.96,393634.62,119723.91,22687,15838,24.76
Home & Kitchen,Storage,928755.61,364307.83,67209.63,17037,12078,39.23
Fashion,Accessories,849832.33,408522.91,77482.02,19308,13594,48.07
Beauty,Haircare,733967.62,356765.06,67157.83,15309,10826,48.61
Sports,Team Sports,728340.62,306893.51,55094.48,9408,6679,42.14
Beauty,Skincare,656420.46,279861.91,59422.46,11201,7995,42.63
Beauty,Fragrance,654014.65,309238.4,60722.95,7250,5161,47.28
Beauty,Makeup,529127.03,234976.89,48250.14,14318,10147,44.41
Toys,STEM Toys,463245.91,189592.51,42781.72,6552,4689,40.93
Toys,Outdoor Toys,327575.0,130862.94,30269.07,4008,2896,39.95
Toys,Dolls,260521.33,109810.18,24000.62,4991,3552,42.15
Toys,Board Games,242323.09,85880.51,22625.99,6119,4403,35.44
Books,Business,231098.67,92822.17,17588.02,6367,4583,40.17
Grocery,Pantry,222715.19,87512.86,16461.38,10989,7784,39.29
Books,Technology,200090.84,84182.61,14877.24,6682,4823,42.07
Grocery,Organic,186641.44,73519.04,14039.37,5635,4067,39.39
Grocery,Beverages,141950.2,59085.44,10540.67,5994,4306,41.62
Books,Fiction,138500.92,56438.65,10414.08,6949,4975,40.75
Grocery,Snacks,105840.15,45214.03,8489.85,5955,4252,42.72
Books,Children,85638.64,32145.01,6189.94,5106,3744,37.54
