cohort_month,cohort_index,customers
2023-01-01,0,484
2023-01-01,1,56
2023-01-01,2,58
2023-01-01,3,64
2023-01-01,4,83
2023-01-01,5,72
2023-01-01,6,81
2023-01-01,7,62
2023-01-01,8,69
2023-01-01,9,92
2023-01-01,10,102
2023-01-01,11,107
2023-01-01,12,64
2023-01-01,13,47
2023-01-01,14,59
2023-01-01,15,70
2023-01-01,16,60
2023-01-01,17,72
2023-01-01,18,68
2023-01-01,19,92
2023-01-01,20,73
2023-01-01,21,89
2023-01-01,22,108
2023-01-01,23,128
2023-01-01,24,63
2023-01-01,25,61
2023-01-01,26,67
2023-01-01,27,66
2023-01-01,28,59
2023-01-01,29,59
2023-01-01,30,82
2023-01-01,31,81
2023-01-01,32,75
2023-01-01,33,73
2023-01-01,34,128
2023-01-01,35,124
2023-02-01,0,415
2023-02-01,1,67
2023-02-01,2,53
2023-02-01,3,68
2023-02-01,4,55
2023-02-01,5,61
2023-02-01,6,75
2023-02-01,7,67
2023-02-01,8,63
2023-02-01,9,90
2023-02-01,10,121
2023-02-01,11,49
2023-02-01,12,52
2023-02-01,13,50
2023-02-01,14,55
2023-02-01,15,58
2023-02-01,16,50
2023-02-01,17,72
2023-02-01,18,73
2023-02-01,19,58
2023-02-01,20,84
2023-02-01,21,89
2023-02-01,22,94
2023-02-01,23,53
2023-02-01,24,48
2023-02-01,25,55
2023-02-01,26,58
2023-02-01,27,71
2023-02-01,28,55
2023-02-01,29,72
2023-02-01,30,60
2023-02-01,31,70
2023-02-01,32,75
2023-02-01,33,93
2023-02-01,34,101
2023-03-01,0,511
2023-03-01,1,59
2023-03-01,2,77
2023-03-01,3,72
2023-03-01,4,98
2023-03-01,5,90
2023-03-01,6,80
2023-03-01,7,99
2023-03-01,8,123
2023-03-01,9,113
2023-03-01,10,66
2023-03-01,11,47
2023-03-01,12,65
2023-03-01,13,57
2023-03-01,14,81
2023-03-01,15,79
2023-03-01,16,77
2023-03-01,17,73
2023-03-01,18,71
2023-03-01,19,85
2023-03-01,20,120
2023-03-01,21,122
2023-03-01,22,70
2023-03-01,23,52
2023-03-01,24,74
2023-03-01,25,63
2023-03-01,26,68
2023-03-01,27,82
2023-03-01,28,82
2023-03-01,29,81
2023-03-01,30,74
2023-03-01,31,74
2023-03-01,32,107
2023-03-01,33,117
2023-04-01,0,554
2023-04-01,1,69
2023-04-01,2,70
2023-04-01,3,59
2023-04-01,4,80
