cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2023-01-01,100.0,11.57,11.98,13.22,17.15,14.88,16.74,12.81,14.26,19.01,21.07,22.11,13.22,9.71,12.19,14.46,12.4,14.88,14.05,19.01,15.08,18.39,22.31,26.45,13.02,12.6,13.84,13.64,12.19,12.19,16.94,16.74,15.5,15.08,26.45,25.62
2023-02-01,100.0,16.14,12.77,16.39,13.25,14.7,18.07,16.14,15.18,21.69,29.16,11.81,12.53,12.05,13.25,13.98,12.05,17.35,17.59,13.98,20.24,21.45,22.65,12.77,11.57,13.25,13.98,17.11,13.25,17.35,14.46,16.87,18.07,22.41,24.34,0.0
2023-03-01,100.0,11.55,15.07,14.09,19.18,17.61,15.66,19.37,24.07,22.11,12.92,9.2,12.72,11.15,15.85,15.46,15.07,14.29,13.89,16.63,23.48,23.87,13.7,10.18,14.48,12.33,13.31,16.05,16.05,15.85,14.48,14.48,20.94,22.9,0.0,0.0
2023-04-01,100.0,12.45,12.64,10.65,14.44,14.8,14.26,21.48,19.31,9.03,7.94,10.83,10.65,12.09,10.11,11.73,11.91,12.09,13.18,16.43,20.76,10.47,9.21,12.27,11.01,12.27,12.64,14.44,13.0,12.82,15.52,17.33,21.84,0.0,0.0,0.0
2023-05-01,100.0,11.58,12.63,14.89,13.38,12.78,19.85,19.25,9.32,10.83,11.13,10.68,12.63,9.77,13.23,13.83,11.88,12.78,17.44,20.6,12.03,10.38,11.13,11.58,11.88,10.83,11.28,11.88,10.83,11.58,16.99,19.1,0.0,0.0,0.0,0.0
2023-06-01,100.0,10.84,11.76,9.91,11.46,18.89,20.43,9.91,6.5,10.53,11.76,10.53,12.69,10.84,13.78,11.15,12.69,18.11,22.29,9.6,7.59,11.76,10.99,10.53,11.92,12.85,12.23,12.07,12.54,16.87,17.8,0.0,0.0,0.0,0.0,0.0
2023-07-01,100.0,13.59,13.86,15.76,19.43,18.89,10.46,10.19,13.18,11.14,13.59,10.73,14.54,12.91,11.55,13.45,18.34,19.43,11.28,9.92,11.96,12.23,11.96,11.55,11.96,12.64,11.68,16.44,16.98,19.43,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,100.0,12.39,13.88,17.84,18.59,8.55,10.41,11.28,11.28,12.27,11.15,10.78,11.03,12.89,13.63,18.59,19.45,8.55,7.56,12.52,10.78,12.89,9.17,11.15,9.91,10.9,12.52,17.72,19.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,100.0,11.08,17.56,18.8,8.34,8.84,10.83,9.34,11.71,10.59,10.46,12.33,12.58,13.57,17.19,19.8,11.58,10.46,10.34,8.34,10.96,12.2,13.33,13.7,11.83,13.7,15.94,19.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-01,100.0,19.05,21.43,9.64,9.3,11.45,10.77,9.07,11.56,11.79,12.7,10.66,13.15,18.37,22.79,9.52,6.92,12.02,10.54,11.56,11.22,11.45,14.63,14.29,14.4,18.03,18.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,100.0,19.98,8.86,8.62,9.11,8.78,12.17,9.27,10.39,12.41,10.72,13.46,16.2,17.57,9.75,7.74,10.15,8.86,10.23,9.35,11.12,11.04,10.72,12.41,16.6,19.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
