order_month,repeat_customers
2023-02-01,56
2023-03-01,125
2023-04-01,176
2023-05-01,297
2023-06-01,346
2023-07-01,453
2023-08-01,582
2023-09-01,653
2023-10-01,809
2023-11-01,1284
2023-12-01,1585
2024-01-01,893
2024-02-01,853
2024-03-01,1163
2024-04-01,1206
2024-05-01,1486
2024-06-01,1542
2024-07-01,1848
2024-08-01,2134
2024-09-01,2122
2024-10-01,2685
2024-11-01,3929
2024-12-01,4743
2025-01-01,2726
2025-02-01,2543
2025-03-01,3284
2025-04-01,3532
2025-05-01,4139
2025-06-01,4288
2025-07-01,5116
2025-08-01,5671
2025-09-01,5728
2025-10-01,6942
2025-11-01,9728
2025-12-01,11473
