product_id,product_name,category,sub_category,brand,revenue,gross_profit,units_sold,average_discount_pct,profit_margin_pct,revenue_rank,category_revenue_rank
P000768,Aster Laptops 0768,Electronics,Laptops,Aster,4280502.49,921769.15,2391,0.07,21.53,1,1
P000635,Nexora Phones 0635,Electronics,Phones,Nexora,2392953.43,532532.63,3010,0.07,22.25,2,2
P000086,ZenByte Laptops 0086,Electronics,Laptops,ZenByte,2305729.49,767742.52,1391,0.07,33.3,3,3
P000671,Aster Phones 0671,Electronics,Phones,Aster,1897806.27,426751.8,2231,0.07,22.49,4,4
P000209,Nexora Laptops 0209,Electronics,Laptops,Nexora,1810319.43,645906.71,1753,0.07,35.68,5,5
P000409,PulseTech Laptops 0409,Electronics,Laptops,PulseTech,1776164.46,361175.07,1713,0.07,20.33,6,6
P000759,Orbit Phones 0759,Electronics,Phones,Orbit,1471770.46,446695.57,1653,0.07,30.35,7,7
P000195,PulseTech Laptops 0195,Electronics,Laptops,PulseTech,1431508.57,253684.82,731,0.06,17.72,8,8
P000442,Aster Laptops 0442,Electronics,Laptops,Aster,1356410.3,394253.42,1332,0.07,29.07,9,9
P000107,CraftHaus Furniture 0107,Home & Kitchen,Furniture,CraftHaus,1347149.92,470414.88,1615,0.07,34.92,10,1
P000239,Orbit Laptops 0239,Electronics,Laptops,Orbit,1334777.78,471999.98,1420,0.07,35.36,11,10
P000050,Orbit Phones 0050,Electronics,Phones,Orbit,1333742.18,404996.18,1560,0.07,30.37,12,11
P000248,CraftHaus Furniture 0248,Home & Kitchen,Furniture,CraftHaus,1318380.46,650690.58,2938,0.07,49.36,13,2
P000435,Orbit Laptops 0435,Electronics,Laptops,Orbit,1278282.34,315967.7,742,0.07,24.72,14,12
P000769,ZenByte Laptops 0769,Electronics,Laptops,ZenByte,1219222.94,373660.81,931,0.07,30.65,15,13
P000294,PulseTech Phones 0294,Electronics,Phones,PulseTech,1185097.84,242672.69,1585,0.07,20.48,16,14
P000302,ZenByte Laptops 0302,Electronics,Laptops,ZenByte,1017155.65,165291.26,923,0.07,16.25,17,15
P000590,Aster Cameras 0590,Electronics,Cameras,Aster,999062.68,164721.48,1315,0.07,16.49,18,16
P000075,Orbit Laptops 0075,Electronics,Laptops,Orbit,960419.35,224236.45,831,0.07,23.35,19,17
P000725,Aster Laptops 0725,Electronics,Laptops,Aster,938452.4,250820.93,551,0.07,26.73,20,18
P000509,CraftHaus Furniture 0509,Home & Kitchen,Furniture,CraftHaus,913643.42,442953.99,899,0.07,48.48,21,3
P000472,BrightNest Furniture 0472,Home & Kitchen,Furniture,BrightNest,890460.35,463664.65,1010,0.07,52.07,22,4
P000129,Aster Phones 0129,Electronics,Phones,Aster,872438.47,252986.67,1084,0.07,29.0,23,19
P000485,Nexora Phones 0485,Electronics,Phones,Nexora,859160.41,148165.45,1332,0.07,17.25,24,20
P000091,Orbit Cameras 0091,Electronics,Cameras,Orbit,834726.46,233606.46,1156,0.07,27.99,25,21
P000037,Nexora Laptops 0037,Electronics,Laptops,Nexora,830851.47,171135.87,876,0.07,20.6,26,22
P000555,Aster Laptops 0555,Electronics,Laptops,Aster,815465.09,264854.27,674,0.08,32.48,27,23
P000341,Orbit Cameras 0341,Electronics,Cameras,Orbit,804259.98,212999.85,1251,0.07,26.48,28,24
P000123,Orbit Laptops 0123,Electronics,Laptops,Orbit,781343.8,154612.55,673,0.08,19.79,29,25
P000230,PulseTech Phones 0230,Electronics,Phones,PulseTech,769480.62,209972.16,877,0.07,27.29,30,26
P000568,ZenByte Cameras 0568,Electronics,Cameras,ZenByte,755317.72,151643.95,687,0.07,20.08,31,27
P000679,ZenByte Cameras 0679,Electronics,Cameras,ZenByte,747911.27,176801.27,1000,0.07,23.64,32,28
P000584,CraftHaus Appliances 0584,Home & Kitchen,Appliances,CraftHaus,743994.52,295603.52,2498,0.07,39.73,33,5
P000624,BrightNest Furniture 0624,Home & Kitchen,Furniture,BrightNest,740183.43,306236.19,1236,0.07,41.37,34,6
P000741,Nexora Laptops 0741,Electronics,Laptops,Nexora,737976.37,201581.16,533,0.07,27.32,35,29
P000561,PulseTech Laptops 0561,Electronics,Laptops,PulseTech,731154.55,257631.16,807,0.07,35.24,36,30
P000626,BrightNest Furniture 0626,Home & Kitchen,Furniture,BrightNest,727869.84,217546.62,1431,0.07,29.89,37,7
P000059,Nexora Phones 0059,Electronics,Phones,Nexora,726228.94,199963.82,1112,0.07,27.53,38,31
P000307,Kiva Furniture 0307,Home & Kitchen,Furniture,Kiva,724359.11,393657.26,933,0.07,54.35,39,8
P000462,Aster Phones 0462,Electronics,Phones,Aster,716828.38,243884.94,1178,0.07,34.02,40,32
P000038,Elm & Co Furniture 0038,Home & Kitchen,Furniture,Elm & Co,696975.2,175807.15,815,0.07,25.22,41,9
P000271,Nexora Cameras 0271,Electronics,Cameras,Nexora,695813.56,146589.04,806,0.07,21.07,42,33
P000029,Aster Phones 0029,Electronics,Phones,Aster,689487.11,201527.84,1291,0.07,29.23,43,34
P000018,Aster Cameras 0018,Electronics,Cameras,Aster,673001.77,122452.65,704,0.07,18.19,44,35
P000681,ZenByte Phones 0681,Electronics,Phones,ZenByte,667346.64,188728.64,1190,0.07,28.28,45,36
P000404,ZenByte Phones 0404,Electronics,Phones,ZenByte,665879.67,209292.77,1970,0.07,31.43,46,37
P000422,Aster Phones 0422,Electronics,Phones,Aster,660501.55,114911.23,1192,0.07,17.4,47,38
P000052,Aster Laptops 0052,Electronics,Laptops,Aster,653709.64,117394.99,381,0.08,17.96,48,39
P000764,Orbit Cameras 0764,Electronics,Cameras,Orbit,652264.82,117553.19,669,0.07,18.02,49,40
P000188,Nexora Phones 0188,Electronics,Phones,Nexora,629488.82,233727.26,948,0.06,37.13,50,41
P000552,ZenByte Laptops 0552,Electronics,Laptops,ZenByte,626030.99,162856.49,501,0.07,26.01,51,42
P000487,Homely Furniture 0487,Home & Kitchen,Furniture,Homely,622631.42,210834.26,1278,0.07,33.86,52,10
P000636,PulseTech Phones 0636,Electronics,Phones,PulseTech,615895.92,198798.31,709,0.07,32.28,53,43
P000535,ZenByte Cameras 0535,Electronics,Cameras,ZenByte,605721.68,120539.88,610,0.07,19.9,54,44
P000449,Nexora Cameras 0449,Electronics,Cameras,Nexora,595405.55,210757.61,566,0.07,35.4,55,45
P000306,Kiva Furniture 0306,Home & Kitchen,Furniture,Kiva,582274.05,213819.23,1327,0.07,36.72,56,11
P000350,ZenByte Laptops 0350,Electronics,Laptops,ZenByte,580874.35,126145.35,550,0.06,21.72,57,46
P000762,ZenByte Laptops 0762,Electronics,Laptops,ZenByte,577937.46,176785.02,411,0.07,30.59,58,47
P000583,Orbit Phones 0583,Electronics,Phones,Orbit,575581.89,176407.02,1327,0.07,30.65,59,48
P000647,ZenByte Laptops 0647,Electronics,Laptops,ZenByte,564141.34,202714.31,468,0.06,35.93,60,49
P000378,Kiva Furniture 0378,Home & Kitchen,Furniture,Kiva,549964.22,165993.1,764,0.07,30.18,61,12
P000376,Aster Cameras 0376,Electronics,Cameras,Aster,540791.62,122580.91,969,0.07,22.67,62,50
P000423,PulseTech Cameras 0423,Electronics,Cameras,PulseTech,530824.8,170860.82,463,0.07,32.19,63,51
P000723,Nexora Laptops 0723,Electronics,Laptops,Nexora,515505.34,129286.78,546,0.07,25.08,64,52
